,time,price,amount
0,1534131395,6356.73,0.96017748
1,1534131412,6355.28,1.11337725
2,1534131413,6356.11,0.11337725
3,1534131414,6353.74,0.01573057
4,1534131415,6353.74,0.02361623
5,1534131415,6353.47,0.011542
6,1534131415,6353.46,2.30155108
7,1534131418,6352.86,0.26266453
8,1534131418,6350.67,0.81595477
9,1534131418,6355.05,0.00455137
10,1534131420,6355.05,0.00521576
11,1534131423,6355.05,0.00816426
12,1534131425,6355.05,0.00759169
13,1534131426,6355.04,0.20643938
14,1534131426,6355.05,0.01400754
15,1534131433,6355.04,0.02061685
16,1534131434,6355.05,0.0201495
17,1534131434,6355.05,0.31781967
18,1534131434,6355.04,0.00481044
19,1534131441,6351.88,0.17553908
20,1534131441,6348.11,0.45695152
21,1534131442,6347.71,0.03768005
22,1534131442,6347.71,0.02245902
23,1534131443,6347.18,1.0
24,1534131443,6347.18,0.5
25,1534131443,6345.0,0.62166778
26,1534131444,6345.0,0.37833222
27,1534131448,6348.01,0.0082695
28,1534131470,6346.18,0.00997826
29,1534131478,6344.8,0.0039063
30,1534131480,6344.79,0.3042797
31,1534131481,6344.79,0.00572231
32,1534131481,6344.79,0.00840092
33,1534131482,6344.79,0.04708873
34,1534131482,6344.79,0.05528512
35,1534131482,6344.79,0.00920326
36,1534131482,6344.79,0.4467188
37,1534131482,6344.79,0.06802574
38,1534131494,6344.79,0.17426999
39,1534131497,6344.45,0.00217729
40,1534131501,6344.79,0.00566017
41,1534131505,6344.77,0.0191644
42,1534131508,6344.77,0.04795214
43,1534131508,6344.76,0.03932852
44,1534131508,6344.77,0.00858698
45,1534131512,6344.77,0.00440621
46,1534131523,6344.77,0.0023283
47,1534131523,6344.77,0.04534909
48,1534131525,6344.77,0.00998412
49,1534131534,6344.77,0.00756507
50,1534131536,6344.77,0.004597
51,1534131558,6343.01,0.11596394
52,1534131558,6343.01,0.07893349
53,1534131559,6343.01,0.00156197
54,1534131578,6343.01,0.04875226
55,1534131579,6343.01,0.10939829
56,1534131583,6343.01,0.00545814
57,1534131584,6343.01,0.00573326
58,1534131584,6343.01,0.94419865
59,1534131584,6343.01,0.05580135
60,1534131585,6343.01,1.0
61,1534131589,6343.0,0.026558
62,1534131601,6343.0,0.00996965
63,1534131602,6342.03,0.01481
64,1534131623,6343.0,1.27347235
65,1534131623,6344.04,0.00103084
66,1534131628,6344.66,1.5
67,1534131628,6344.57,1.0
68,1534131628,6344.57,0.04096672
69,1534131628,6344.56,0.09920165
70,1534131629,6345.05,1.31
71,1534131631,6345.7,0.00359553
72,1534131631,6345.7,0.0044414
73,1534131642,6345.69,0.00535736
74,1534131642,6345.69,1.30464264
75,1534131642,6345.71,0.42239326
76,1534131645,6345.71,1.07760674
77,1534131646,6345.71,0.00312849
78,1534131653,6345.7,1.0
79,1534131653,6345.7,0.31
80,1534131654,6345.7,0.00464332
81,1534131656,6345.7,1.27802401
82,1534131660,6346.39,0.62847129
83,1534131663,6345.13,0.7914047
84,1534131667,6346.39,0.02829114
85,1534131669,6346.39,0.00997248
86,1534131669,6346.39,0.01766092
87,1534131672,6346.39,0.00347087
88,1534131673,6346.39,0.00901073
89,1534131677,6346.37,0.00287191
90,1534131677,6345.15,1.0
91,1534131678,6346.37,0.00159051
92,1534131678,6345.16,0.9960937
93,1534131678,6346.36,0.02082595
94,1534131681,6346.36,0.0220629
95,1534131690,6346.36,0.01866829
96,1534131690,6346.36,0.0416195
97,1534131695,6346.36,0.00100114
98,1534131698,6345.17,0.00293985
99,1534131716,6346.36,0.00136614
100,1534131719,6346.36,0.1161987
101,1534131757,6346.36,0.01003205
102,1534131774,6346.36,0.0138838
103,1534131783,6346.36,0.056
104,1534131815,6346.36,0.02918612
105,1534131816,6346.36,0.10863638
106,1534131821,6346.36,0.32195878
107,1534131826,6346.36,0.15353898
108,1534131845,6346.36,0.05861514
109,1534131855,6344.0,0.03933339
110,1534131858,6341.33,0.99277785
111,1534131861,6341.31,1.0
112,1534131862,6341.31,1.0
113,1534131863,6341.31,0.9363
114,1534131864,6338.68,1.0
115,1534131864,6338.68,0.00722215
116,1534131865,6336.85,1.0
117,1534131866,6336.13,0.99277785
118,1534131867,6338.67,0.018816
119,1534131869,6338.67,0.0099935
120,1534131874,6338.66,0.15315612
121,1534131874,6338.65,0.09426713
122,1534131875,6338.65,0.17394346
123,1534131876,6338.65,0.0931392
124,1534131884,6338.65,0.00628789
125,1534131888,6338.63,0.00871834
126,1534131890,6338.63,0.09226852
127,1534131896,6338.61,0.01106892
128,1534131897,6338.61,0.01574415
129,1534131899,6336.63,0.02336344
130,1534131900,6338.61,0.0016095
131,1534131901,6338.61,0.61297824
132,1534131902,6338.61,0.0083707
133,1534131902,6338.61,0.01171898
134,1534131903,6338.61,0.64850951
135,1534131903,6338.61,0.00730561
136,1534131903,6338.61,0.00587003
137,1534131905,6338.61,0.04896557
138,1534131908,6338.6,0.35149049
139,1534131908,6338.6,0.95850951
140,1534131909,6338.61,0.00982971
141,1534131911,6338.6,0.03944051
142,1534131913,6338.61,0.0100148
143,1534131915,6338.6,1.31
144,1534131925,6338.61,0.16785456
145,1534131925,6338.6,1.31
146,1534131931,6338.6,0.35827078
147,1534131937,6338.6,0.07869246
148,1534131947,6338.6,0.87303676
149,1534131947,6338.66,0.10407988
150,1534131949,6338.66,0.01332201
151,1534131987,6336.7,1.0
152,1534132037,6338.65,1.31
153,1534132057,6338.64,1.31
154,1534132073,6338.63,0.12183754
155,1534132073,6338.63,1.18816246
156,1534132085,6338.62,0.1958319
157,1534132085,6338.62,1.1141681
158,1534132103,6338.61,1.31
159,1534132115,6339.79,1.31
160,1534132115,6339.8,0.5901296
161,1534132121,6340.4,1.31
162,1534132121,6340.41,0.14525215
163,1534132127,6340.4,1.31
164,1534132167,6340.39,0.26745697
165,1534132204,6340.39,1.31
166,1534132214,6340.51,1.31
167,1534132214,6340.51,0.68997868
168,1534132225,6340.5,1.31
169,1534132226,6340.5,0.68997868
170,1534132228,6340.49,1.0
171,1534132231,6340.49,0.31
172,1534132231,6340.49,0.21131328
173,1534132237,6340.49,0.1816003
174,1534132237,6340.51,1.31
175,1534132237,6340.94,0.0072626
176,1534132237,6341.3,0.12839971
177,1534132237,6345.03,1.0
178,1534132238,6347.92,0.86431637
179,1534132244,6345.02,1.0
180,1534132245,6345.02,0.31
181,1534132254,6345.01,0.67009581
182,1534132259,6345.01,0.01291149
183,1534132269,6343.23,0.00931374
184,1534132303,6344.99,1.31
185,1534132332,6347.29,1.31
186,1534132390,6347.54,0.03011073
187,1534132414,6348.22,1.0
188,1534132414,6348.22,0.31
189,1534132431,6346.47,0.00198251
190,1534132446,6348.21,0.69
191,1534132448,6348.21,0.01642601
192,1534132451,6346.47,0.03675099
193,1534132504,6346.47,0.01796
194,1534132505,6348.21,0.01289938
195,1534132522,6348.21,0.59067461
196,1534132522,6348.21,0.03937696
197,1534132522,6348.21,5.0
198,1534132524,6348.27,0.83694843
199,1534132570,6348.22,0.03934334
200,1534132648,6346.33,0.00132866
201,1534132676,6346.33,0.23867164
202,1534132682,6346.33,0.41709544
203,1534132684,6343.44,0.06945407
204,1534132684,6343.44,0.01345049
205,1534132700,6346.24,0.06302865
206,1534132701,6343.45,0.796776
207,1534132709,6346.19,0.06302945
208,1534132719,6346.17,0.06302994
209,1534132725,6346.17,0.06302994
210,1534132727,6346.16,0.03938751
211,1534132728,6346.17,0.02503089
212,1534132731,6346.15,0.34478704
213,1534132731,6346.15,0.03384399
214,1534132734,6346.15,0.04235375
215,1534132735,6346.15,0.04580965
216,1534132736,6346.15,0.0797208
217,1534132741,6346.15,0.17064775
218,1534132743,6346.15,0.00179068
219,1534132744,6346.15,0.0585856
220,1534132746,6342.91,0.310132
221,1534132750,6346.15,0.0620558
222,1534132755,6346.15,0.10874057
223,1534132763,6342.93,0.012879
224,1534132772,6346.15,0.03131862
225,1534132774,6346.15,0.15821662
226,1534132775,6346.15,0.17212913
227,1534132775,6346.15,0.03121387
228,1534132780,6346.14,0.01524512
229,1534132784,6346.14,0.15603531
230,1534132789,6346.14,0.08905293
231,1534132790,6346.14,0.17757284
232,1534132791,6346.14,0.01194717
233,1534132794,6346.14,0.00818817
234,1534132797,6346.14,0.03795777
235,1534132801,6346.14,0.07
236,1534132806,6346.14,0.0818802
237,1534132806,6346.14,0.09398464
238,1534132806,6346.14,0.01589775
239,1534132808,6346.14,0.5522381
240,1534132813,6346.13,0.5
241,1534132813,6346.13,0.81
242,1534132815,6346.14,0.01224989
243,1534132817,6346.14,0.00997588
244,1534132817,6346.14,0.08583778
245,1534132818,6346.14,0.06298415
246,1534132818,6346.14,0.04466772
247,1534132818,6346.14,0.06906267
248,1534132820,6346.14,0.02025474
249,1534132820,6346.14,0.97974526
250,1534132820,6346.13,0.49
251,1534132821,6346.13,0.82
252,1534132821,6346.14,0.18519536
253,1534132821,6346.14,1.0
254,1534132827,6346.13,1.31
255,1534132827,6346.14,0.18265267
256,1534132829,6346.14,0.01416695
257,1534132830,6346.14,0.01002401
258,1534132831,6346.14,0.03900078
259,1534132832,6346.14,0.01073335
260,1534132834,6346.13,1.03804313
261,1534132834,6346.13,0.27195687
262,1534132834,6346.14,0.04215532
263,1534132835,6346.14,0.00998331
264,1534132836,6346.14,0.02666487
265,1534132836,6346.14,0.18519536
266,1534132837,6346.14,0.00254269
267,1534132837,6346.14,0.02743017
268,1534132839,6346.14,0.01006701
269,1534132841,6346.13,0.22804313
270,1534132841,6346.13,1.0
271,1534132841,6346.13,0.08195687
272,1534132842,6346.14,0.0280282
273,1534132847,6346.14,0.00995476
274,1534132850,6346.13,1.21804313
275,1534132850,6346.13,0.09195687
276,1534132850,6346.14,0.01001522
277,1534132852,6346.14,0.02198198
278,1534132852,6346.14,0.0223
279,1534132853,6346.14,0.11864688
280,1534132854,6346.14,0.18483637
281,1534132854,6346.14,0.06306732
282,1534132854,6346.14,0.064482
283,1534132854,6346.14,0.00366781
284,1534132856,6346.14,0.0049627
285,1534132858,6346.14,0.0101154
286,1534132858,6346.14,0.00233886
287,1534132858,6346.13,0.40804313
288,1534132858,6346.13,0.90195687
289,1534132863,6346.14,0.18470109
290,1534132865,6346.95,0.05503692
291,1534132869,6346.95,0.42218357
292,1534132869,6346.95,0.83277951
293,1534132870,6347.72,0.01300877
294,1534132872,6347.72,0.158234
295,1534132873,6347.71,1.0
296,1534132873,6347.71,0.31
297,1534132873,6347.72,0.69
298,1534132873,6347.72,0.98821518
299,1534132874,6349.12,1.0109519
300,1534132875,6348.29,1.0
301,1534132875,6348.29,0.85810978
302,1534132876,6348.29,0.00408483
303,1534132877,6351.11,0.00461861
304,1534132884,6350.57,0.14345308
305,1534132885,6352.59,0.04978591
306,1534132886,6352.59,0.01396374
307,1534132890,6352.59,0.08320824
308,1534132902,6350.62,0.00316516
309,1534132907,6350.62,0.06014525
310,1534132912,6352.01,0.0254261
311,1534132912,6352.01,0.00999747
312,1534132917,6350.68,1.0
313,1534132922,6350.68,0.3
314,1534132922,6350.64,0.5
315,1534132922,6350.63,0.02654217
316,1534132937,6349.99,1.3
317,1534132937,6349.95,0.40870482
318,1534132938,6349.99,0.31691091
319,1534132938,6350.04,0.09129518
320,1534132939,6350.04,1.0
321,1534132939,6350.04,0.20870482
322,1534132939,6350.0,0.18308909
323,1534132940,6349.59,1.3
324,1534132940,6349.59,0.09179391
325,1534132941,6349.58,1.0
326,1534132942,6349.58,0.31
327,1534132982,6349.57,0.78129519
328,1534132987,6349.57,0.52870481
329,1534132988,6349.57,0.03935768
330,1534132988,6350.52,0.00717266
331,1534132998,6352.72,0.2997183
332,1534133000,6352.72,0.0014862
333,1534133001,6352.72,0.0916871
334,1534133001,6352.72,0.01043691
335,1534133003,6352.72,0.03944302
336,1534133008,6351.09,0.60820609
337,1534133018,6352.6,0.00156145
338,1534133035,6352.6,1.10959798
339,1534133035,6352.6,0.19884057
340,1534133038,6352.59,1.31
341,1534133044,6352.51,0.17005636
342,1534133045,6352.5,0.00922923
343,1534133058,6352.5,0.00922936
344,1534133070,6352.5,0.01917098
345,1534133075,6351.41,0.75020907
346,1534133099,6352.5,0.02440218
347,1534133100,6352.5,0.03567581
